timestamp,player,skill,rank,level,xp
2026-08-24T17:19:07.747327,Darallax,Smithing,1809953,60,275295
2026-08-24T17:19:07.747329,Darallax,Mining,1353835,72,903952
2026-08-24T17:19:07.747331,Darallax,Herblore,-1,43,50843
2026-08-24T17:19:07.747338,Darallax,Agility,1262726,71,843690
2026-08-24T17:19:07.747340,Darallax,Thieving,1881115,54,154718
2026-08-24T17:19:07.747342,Darallax,Slayer,-1,50,109889
2026-08-24T17:19:07.747344,Darallax,Farming,-1,35,22875
2026-08-24T17:19:07.747346,Darallax,Runecraft,517952,77,1477033
2026-08-24T17:19:07.747348,Darallax,Hunter,-1,14,2313
2026-08-24T17:19:07.747350,Darallax,Construction,-1,17,3259
2026-08-24T17:19:07.747352,Darallax,Sailing,813208,17,3317
2026-08-25T01:15:08.282636,Mas120,Overall,1423715,1566,20690507
2026-08-25T01:15:08.282649,Mas120,Attack,1914231,72,916665
2026-08-25T01:15:08.282651,Mas120,Defence,1728047,72,902491
2026-08-25T01:15:08.282654,Mas120,Strength,1576913,84,3060437
2026-08-25T01:15:08.282656,Mas120,Hitpoints,1852351,80,2045654
2026-08-25T01:15:08.282658,Mas120,Ranged,-1,74,1159474
2026-08-25T01:15:08.282660,Mas120,Prayer,1363901,70,764820
2026-08-25T01:15:08.282662,Mas120,Magic,-1,68,646813
2026-08-25T01:15:08.282664,Mas120,Cooking,1834992,70,758506
2026-08-25T01:15:08.282667,Mas120,Woodcutting,1394232,72,972538
2026-08-25T01:15:08.282669,Mas120,Fletching,1547224,68,651880
2026-08-25T01:15:08.282671,Mas120,Fishing,1511819,69,696443
2026-08-25T01:15:08.282673,Mas120,Firemaking,-1,51,116530
2026-08-25T01:15:08.282675,Mas120,Crafting,1661451,65,491376
2026-08-25T01:15:08.282677,Mas120,Smithing,-1,52,131424
2026-08-25T01:15:08.282681,Mas120,Mining,1099516,75,1210501
2026-08-25T01:15:08.282683,Mas120,Herblore,1550680,58,234779
2026-08-25T01:15:08.282685,Mas120,Agility,1350297,70,790046
2026-08-25T01:15:08.282687,Mas120,Thieving,779358,76,1357330
2026-08-25T01:15:08.282689,Mas120,Slayer,1829832,58,236168
2026-08-25T01:15:08.282691,Mas120,Farming,930802,79,1925607
2026-08-25T01:15:08.282693,Mas120,Runecraft,1334406,56,185442
2026-08-25T01:15:08.282695,Mas120,Hunter,775010,75,1316322
2026-08-25T01:15:08.282697,Mas120,Construction,1625611,51,119261
2026-08-25T01:15:08.282699,Mas120,Sailing,-1,1,0
2026-08-25T01:15:09.783048,MrBSvenB,Overall,1191083,1686,39395499
2026-08-25T01:15:09.783062,MrBSvenB,Attack,997144,86,3680243
2026-08-25T01:15:09.783064,MrBSvenB,Defence,977925,85,3259667
2026-08-25T01:15:09.783067,MrBSvenB,Strength,1057301,93,7549003
2026-08-25T01:15:09.783069,MrBSvenB,Hitpoints,1201864,91,5996023
2026-08-25T01:15:09.783071,MrBSvenB,Ranged,1387170,85,3298439
2026-08-25T01:15:09.783073,MrBSvenB,Prayer,1518763,70,739708
2026-08-25T01:15:09.783075,MrBSvenB,Magic,1997688,75,1268030
2026-08-25T01:15:09.783077,MrBSvenB,Cooking,1915034,70,747814
2026-08-25T01:15:09.783079,MrBSvenB,Woodcutting,1600216,71,815416
2026-08-25T01:15:09.783081,MrBSvenB,Fletching,1430091,70,747763
2026-08-25T01:15:09.783083,MrBSvenB,Fishing,1582913,68,623533
2026-08-25T01:15:09.783085,MrBSvenB,Firemaking,-1,52,127617
2026-08-25T01:15:09.783088,MrBSvenB,Crafting,957112,75,1327637
2026-08-25T01:15:09.783090,MrBSvenB,Smithing,1970020,56,186380
2026-08-25T01:15:09.783092,MrBSvenB,Mining,781933,80,2080936
2026-08-25T01:15:09.783097,MrBSvenB,Herblore,1355610,63,369855
2026-08-25T01:15:09.783099,MrBSvenB,Agility,1574251,68,630606
2026-08-25T01:15:09.783101,MrBSvenB,Thieving,1275314,67,580660
2026-08-25T01:15:09.783103,MrBSvenB,Slayer,-1,50,106960
2026-08-25T01:15:09.783106,MrBSvenB,Farming,708985,86,3662472
2026-08-25T01:15:09.783107,MrBSvenB,Runecraft,1693013,44,60675
2026-08-25T01:15:09.783110,MrBSvenB,Hunter,846722,74,1152554
2026-08-25T01:15:09.783112,MrBSvenB,Construction,1355730,61,314389
2026-08-25T01:15:09.783114,MrBSvenB,Sailing,604537,46,69119
2026-08-25T01:15:11.235292,Phome1,Overall,929119,1810,50937637
2026-08-25T01:15:11.235305,Phome1,Attack,896098,89,5027199
2026-08-25T01:15:11.235308,Phome1,Defence,1124391,81,2250578
2026-08-25T01:15:11.235318,Phome1,Strength,1016514,94,8198135
2026-08-25T01:15:11.235320,Phome1,Hitpoints,1175586,91,6269614
2026-08-25T01:15:11.235322,Phome1,Ranged,1437394,84,3016315
2026-08-25T01:15:11.235324,Phome1,Prayer,1571820,69,698141
2026-08-25T01:15:11.235326,Phome1,Magic,1745262,79,1835362
2026-08-25T01:15:11.235328,Phome1,Cooking,1299169,74,1146246
2026-08-25T01:15:11.235331,Phome1,Woodcutting,772885,81,2410624
2026-08-25T01:15:11.235333,Phome1,Fletching,1745402,64,439568
2026-08-25T01:15:11.235337,Phome1,Fishing,1421672,70,752633
2026-08-25T01:15:11.235339,Phome1,Firemaking,1812156,67,604212
2026-08-25T01:15:11.235341,Phome1,Crafting,833916,78,1687053
2026-08-25T01:15:11.235343,Phome1,Smithing,1653154,63,390375
2026-08-25T01:15:11.235345,Phome1,Mining,650296,83,2707209
2026-08-25T01:15:11.235349,Phome1,Herblore,1215738,68,633383
2026-08-25T01:15:11.235351,Phome1,Agility,1233437,71,864195
2026-08-25T01:15:11.235353,Phome1,Thieving,735019,77,1477286
2026-08-25T01:15:11.235355,Phome1,Slayer,1688778,62,337178
2026-08-25T01:15:11.235357,Phome1,Farming,505698,92,6946739
2026-08-25T01:15:11.235359,Phome1,Runecraft,1027274,62,340756
2026-08-25T01:15:11.235361,Phome1,Hunter,681807,77,1619320
2026-08-25T01:15:11.235363,Phome1,Construction,952001,72,937077
2026-08-25T01:15:11.235365,Phome1,Sailing,415075,62,348439
2026-08-25T01:15:12.902081,Darallax,Overall,1892154,1332,11544808
2026-08-25T01:15:12.902096,Darallax,Attack,-1,70,737946
2026-08-25T01:15:12.902100,Darallax,Defence,-1,70,738492
2026-08-25T01:15:12.902104,Darallax,Strength,1881220,80,1986105
2026-08-25T01:15:12.902113,Darallax,Hitpoints,-1,76,1433913
2026-08-25T01:15:12.902117,Darallax,Ranged,-1,62,365017
2026-08-25T01:15:12.902120,Darallax,Prayer,-1,50,103311
2026-08-25T01:15:12.902124,Darallax,Magic,-1,70,786183
2026-08-25T01:15:12.902128,Darallax,Cooking,-1,60,274981
2026-08-25T01:15:12.902131,Darallax,Woodcutting,-1,62,347228
2026-08-25T01:15:12.902135,Darallax,Fletching,-1,60,274299
2026-08-25T01:15:12.902138,Darallax,Fishing,-1,58,242705
2026-08-25T01:15:12.902142,Darallax,Firemaking,-1,42,47200
2026-08-25T01:15:12.902145,Darallax,Crafting,1828940,62,360244
2026-08-25T01:15:12.902149,Darallax,Smithing,1810261,60,275295
2026-08-25T01:15:12.902152,Darallax,Mining,1354089,72,903952
2026-08-25T01:15:12.902156,Darallax,Herblore,-1,43,50843
2026-08-25T01:15:12.902163,Darallax,Agility,1262940,71,843690
2026-08-25T01:15:12.902166,Darallax,Thieving,1881415,54,154718
2026-08-25T01:15:12.902170,Darallax,Slayer,-1,50,109889
2026-08-25T01:15:12.902173,Darallax,Farming,-1,35,22875
2026-08-25T01:15:12.902177,Darallax,Runecraft,518069,77,1477033
2026-08-25T01:15:12.902181,Darallax,Hunter,-1,14,2313
2026-08-25T01:15:12.902187,Darallax,Construction,-1,17,3259
2026-08-25T01:15:12.902191,Darallax,Sailing,813775,17,3317
2026-08-26T01:17:53.444429,Mas120,Overall,1424207,1566,20690507
2026-08-26T01:17:53.444442,Mas120,Attack,1914792,72,916665
2026-08-26T01:17:53.444445,Mas120,Defence,1728544,72,902491
2026-08-26T01:17:53.444448,Mas120,Strength,1577422,84,3060437
2026-08-26T01:17:53.444450,Mas120,Hitpoints,1852914,80,2045654
2026-08-26T01:17:53.444452,Mas120,Ranged,-1,74,1159474
2026-08-26T01:17:53.444454,Mas120,Prayer,1364324,70,764820
2026-08-26T01:17:53.444457,Mas120,Magic,-1,68,646813
2026-08-26T01:17:53.444459,Mas120,Cooking,1835531,70,758506
2026-08-26T01:17:53.444461,Mas120,Woodcutting,1394824,72,972538
2026-08-26T01:17:53.444463,Mas120,Fletching,1547724,68,651880
2026-08-26T01:17:53.444465,Mas120,Fishing,1512329,69,696443
2026-08-26T01:17:53.444467,Mas120,Firemaking,-1,51,116530
2026-08-26T01:17:53.444469,Mas120,Crafting,1662004,65,491376
2026-08-26T01:17:53.444471,Mas120,Smithing,-1,52,131424
2026-08-26T01:17:53.444475,Mas120,Mining,1100005,75,1210501
2026-08-26T01:17:53.444477,Mas120,Herblore,1551205,58,234779
2026-08-26T01:17:53.444479,Mas120,Agility,1350758,70,790046
2026-08-26T01:17:53.444481,Mas120,Thieving,779657,76,1357330
2026-08-26T01:17:53.444483,Mas120,Slayer,1830297,58,236168
2026-08-26T01:17:53.444485,Mas120,Farming,931167,79,1925607
2026-08-26T01:17:53.444487,Mas120,Runecraft,1334901,56,185442
2026-08-26T01:17:53.444489,Mas120,Hunter,775318,75,1316322
2026-08-26T01:17:53.444491,Mas120,Construction,1626146,51,119261
2026-08-26T01:17:53.444493,Mas120,Sailing,-1,1,0
2026-08-26T01:17:54.738773,MrBSvenB,Overall,1191578,1686,39395499
2026-08-26T01:17:54.738786,MrBSvenB,Attack,997508,86,3680243
2026-08-26T01:17:54.738789,MrBSvenB,Defence,978257,85,3259667
2026-08-26T01:17:54.738791,MrBSvenB,Strength,1057696,93,7549003
2026-08-26T01:17:54.738794,MrBSvenB,Hitpoints,1202298,91,5996023
2026-08-26T01:17:54.738796,MrBSvenB,Ranged,1387643,85,3298439
2026-08-26T01:17:54.738798,MrBSvenB,Prayer,1519215,70,739708
2026-08-26T01:17:54.738800,MrBSvenB,Magic,1998232,75,1268030
2026-08-26T01:17:54.738802,MrBSvenB,Cooking,1915587,70,747814
2026-08-26T01:17:54.738805,MrBSvenB,Woodcutting,1600765,71,815416
2026-08-26T01:17:54.738807,MrBSvenB,Fletching,1430510,70,747763
2026-08-26T01:17:54.738809,MrBSvenB,Fishing,1583403,68,623533
2026-08-26T01:17:54.738811,MrBSvenB,Firemaking,-1,52,127617
2026-08-26T01:17:54.738813,MrBSvenB,Crafting,957522,75,1327637
2026-08-26T01:17:54.738815,MrBSvenB,Smithing,1970624,56,186380
2026-08-26T01:17:54.738817,MrBSvenB,Mining,782332,80,2080936
2026-08-26T01:17:54.738822,MrBSvenB,Herblore,1356097,63,369855
2026-08-26T01:17:54.738824,MrBSvenB,Agility,1574781,68,630606
2026-08-26T01:17:54.738826,MrBSvenB,Thieving,1275812,67,580660
2026-08-26T01:17:54.738828,MrBSvenB,Slayer,-1,50,106960
2026-08-26T01:17:54.738830,MrBSvenB,Farming,709263,86,3662472
2026-08-26T01:17:54.738832,MrBSvenB,Runecraft,1693624,44,60675
2026-08-26T01:17:54.738834,MrBSvenB,Hunter,847049,74,1152554
2026-08-26T01:17:54.738837,MrBSvenB,Construction,1356165,61,314389
2026-08-26T01:17:54.738839,MrBSvenB,Sailing,605569,46,69119
2026-08-26T01:17:55.799971,Phome1,Overall,927259,1811,51116662
2026-08-26T01:17:55.799988,Phome1,Attack,896452,89,5027507
2026-08-26T01:17:55.799991,Phome1,Defence,1124765,81,2250578
2026-08-26T01:17:55.799994,Phome1,Strength,1016856,94,8199291
2026-08-26T01:17:55.799996,Phome1,Hitpoints,1175629,91,6273768
2026-08-26T01:17:55.799998,Phome1,Ranged,1437860,84,3016327
2026-08-26T01:17:55.800000,Phome1,Prayer,1354630,70,767478
2026-08-26T01:17:55.800003,Phome1,Magic,1741743,79,1848056
2026-08-26T01:17:55.800005,Phome1,Cooking,1299569,74,1146246
2026-08-26T01:17:55.800007,Phome1,Woodcutting,773192,81,2410702
2026-08-26T01:17:55.800009,Phome1,Fletching,1745928,64,439568
2026-08-26T01:17:55.800014,Phome1,Fishing,1422155,70,752633
2026-08-26T01:17:55.800016,Phome1,Firemaking,1812711,67,604302
